file_name,location,date,x_coordiate,y_coordiate,long_axis,short_axis,angle
BMGMC_015_7_6_15_layer2,15,7/6/2015,220.4955462,718.9881321,366.7805715,96.74781138,1.464880281
BMGMC_015_7_6_15_layer2,15,7/6/2015,1582.162171,991.2190073,251.9566307,110.0304085,1.397806472
BMGMC_015_7_6_15_layer2,15,7/6/2015,312.9925792,1167.269191,424.0452688,245.8082585,-1.562620913
BMGMC_015_7_6_15_layer2,15,7/6/2015,609.239942,1164.749972,382.1327325,132.8004942,1.3207886
BMGMC_015_7_6_15_layer2,15,7/6/2015,888.5,1372,313.1530259,194.4176143,1.570796327
BMGMC_015_7_6_15_layer2,15,7/6/2015,1246,1439,250.6672496,105.2080574,1.570796327
BMGMC_015_7_6_15_layer3,15,7/6/2015,457.5809317,801.8852654,379.2914136,116.1925531,1.400538702
BMGMC_015_7_6_15_layer3,15,7/6/2015,1396.040009,1059.236615,632.4997249,296.1167065,1.392984853
BMGMC_015_7_6_15_layer3,15,7/6/2015,1063.918247,1051.265402,399.035111,188.8951489,1.188775755
BMGMC_016_7_6_15_layer1,16,7/6/2015,463.5046466,293.5033581,362.5357496,202.3737052,-1.346975338
BMGMC_016_7_6_15_layer1,16,7/6/2015,866.5042029,328.48584,220.1987849,120.212197,1.441837935
BMGMC_016_7_6_15_layer1,16,7/6/2015,54.5,669.5,378.030723,87.03761306,1.570796327
BMGMC_016_7_6_15_layer1,16,7/6/2015,1322.577266,618.4838302,279.4303674,178.3788205,1.487711364
BMGMC_016_7_6_15_layer1,16,7/6/2015,1680.502038,679.4981069,350.8433873,207.0327381,1.217007542
BMGMC_016_7_6_15_layer1,16,7/6/2015,539.4933601,958.4938464,514.6958438,186.9329762,1.464860921
BMGMC_016_7_6_15_layer1,16,7/6/2015,1392.989409,1230.729444,646.1527391,273.5058467,1.415499845
BMGMC_016_7_6_15_layer1,16,7/6/2015,1691.497002,1224.503515,432.1189189,205.2877515,1.389178084
BMGMC_016_7_6_15_layer1,16,7/6/2015,1074.5,1404.5,466.3324899,268.9014419,1.570796327
BMGMC_016_7_6_15_layer1,16,7/6/2015,534.4805494,1465.504449,296.8656084,124.3660562,1.504801688
BMGMC_016_7_6_15_layer2,16,7/6/2015,1820.483463,638.4763775,531.5235705,256.6078711,1.341669227
BMGMC_016_7_6_15_layer2,16,7/6/2015,923.5,706.5,462.8800143,235.9926486,1.570796327
BMGMC_016_7_6_15_layer2,16,7/6/2015,350.5852649,1012.541426,799.2494385,262.3739817,1.57075037
BMGMC_016_7_6_15_layer2,16,7/6/2015,1518.487695,846.5031228,446.9500566,275.0386972,1.391298458
BMGMC_016_7_6_15_layer2,16,7/6/2015,700.5077851,1080.539316,177.0268792,124.378904,-1.425331839
BMGMC_016_7_6_15_layer2,16,7/6/2015,645.5,1425.5,236.1305493,100.8749694,1.570796327
BMGMC_016_7_6_15_layer2,16,7/6/2015,1585,1517,245.5048869,167.5466198,1.570796327
BMGMC_016_7_6_15_layer3,16,7/6/2015,621.5215,536.2883307,702.2695035,344.9407008,1.373283075
BMGMC_016_7_6_15_layer3,16,7/6/2015,1130.505401,625.5076521,523.4318226,279.5391643,-1.501900286
BMGMC_016_7_6_15_layer3,16,7/6/2015,1458.49167,534.4881409,184.9760117,136.0373141,1.053283411
BMGMC_016_7_6_15_layer3,16,7/6/2015,405,1561.5,199.6810418,151.9516542,1.570796327
BMGMC_017_7_6_15_layer1,17,7/6/2015,1585.492164,262.7375294,374.4652752,218.7038384,-1.355791081
BMGMC_017_7_6_15_layer1,17,7/6/2015,628.5008778,597.4988213,468.0706412,284.7164874,1.310735689
BMGMC_017_7_6_15_layer1,17,7/6/2015,1257.243717,615.2712698,190.212078,136.841205,1.19041038
BMGMC_017_7_6_15_layer1,17,7/6/2015,1749.734224,682.437913,303.5128617,171.8651281,1.375787106
BMGMC_017_7_6_15_layer1,17,7/6/2015,949.292381,955.2998659,440.9134452,192.1355494,1.476935044
BMGMC_017_7_6_15_layer1,17,7/6/2015,393.4874367,1173.576235,540.1451236,354.8266299,-1.459149383
BMGMC_017_7_6_15_layer1,17,7/6/2015,1851.77323,1220.490074,478.8446775,206.4420685,-1.501127862
BMGMC_017_7_6_15_layer1,17,7/6/2015,1285.24723,1174.765339,400.2659572,208.4196264,1.386741805
BMGMC_017_7_6_15_layer1,17,7/6/2015,734.1325816,1352.490306,440.1522905,163.9346105,1.41105101
BMGMC_017_7_6_15_layer1,17,7/6/2015,1048.265703,1329.245882,220.8983244,109.7098652,1.351131293
BMGMC_017_7_6_15_layer1,17,7/6/2015,1506,1536,139.8818899,98.28307285,1.570796327
BMGMC_017_7_6_15_layer2,17,7/6/2015,1808.773857,434.7091194,294.9771872,218.7810746,0.520069142
BMGMC_017_7_6_15_layer2,17,7/6/2015,823.0019986,528.0350498,330.8709839,215.1641651,-1.453610754
BMGMC_017_7_6_15_layer2,17,7/6/2015,1463.023028,574.0378764,383.1625736,184.6328144,1.402297096
BMGMC_017_7_6_15_layer2,17,7/6/2015,454.4629943,687.9696982,382.9896579,190.2414526,1.311023903
BMGMC_017_7_6_15_layer2,17,7/6/2015,1422.23721,1083.06835,488.8067462,201.5042189,1.141589904
BMGMC_017_7_6_15_layer2,17,7/6/2015,1189.000254,1492.500977,460.8960286,154.8589317,1.361444422
BMGMC_017_7_6_15_layer3,17,7/6/2015,1621.5,867.5,450.8454515,177.1057012,1.570796327
BMGMC_017_7_6_15_layer3,17,7/6/2015,1136.978885,1022.048082,393.6000438,207.7396143,-1.536010852
BMGMC_017_7_6_15_layer3,17,7/6/2015,613.4703121,1049.531062,377.2125129,167.6883859,-1.470402564
BMGMC_017_7_6_15_layer3,17,7/6/2015,1578.5,1405,125.9493093,121.7031424,1.570796327
BMGMC_017_7_6_15_layer4,17,7/6/2015,1079.759473,524.0505162,551.5519698,275.2147821,-1.443113332
BMGMC_018_7_6_15_layer1,18,7/6/2015,413,199,313.0027454,151.9542788,1.570796327
BMGMC_018_7_6_15_layer1,18,7/6/2015,1030.99766,228.9613115,268.5213099,142.845132,1.191059057
BMGMC_018_7_6_15_layer1,18,7/6/2015,1409.705286,355.2974473,339.65821,200.5608634,-1.493659124
BMGMC_018_7_6_15_layer1,18,7/6/2015,904.4909075,547.5536485,426.6207822,223.4057153,1.483241199
BMGMC_018_7_6_15_layer1,18,7/6/2015,1258.5,869.5,381.5006575,196.1216949,1.570796327
